ring_sign,rec_gain,tau,in_gain,cue_gain,loss,slope
1.0,2.0,2.0,30.0,10.0,0.9190701127052308,0.07582872896958613
1.0,2.0,5.0,1.0,3.0,1.0983035042881966,-0.24130943350522044
1.0,2.0,5.0,1.0,10.0,1.1017163410782813,-0.23743828499692723
1.0,2.0,5.0,3.0,3.0,1.0808627858757973,-0.240352211019965
1.0,2.0,5.0,3.0,10.0,1.0853969186544419,-0.23669155033972408
1.0,2.0,5.0,10.0,3.0,0.8388728685677052,0.1334201853919181
1.0,2.0,5.0,10.0,10.0,0.8454555153846741,0.11791562489974029
1.0,2.0,5.0,30.0,3.0,0.6307492561638355,0.2558038626313337
1.0,2.0,5.0,30.0,10.0,0.640668174624443,0.2635003866107867
1.0,2.0,10.0,1.0,3.0,0.926733236014843,-0.22576206242978936
1.0,2.0,10.0,1.0,10.0,0.9326361566781998,-0.2257474038742306
1.0,2.0,10.0,3.0,3.0,0.9004427134990692,-0.22211434386634984
1.0,2.0,10.0,3.0,10.0,0.9074863098561764,-0.22238680487761764
1.0,2.0,10.0,10.0,3.0,0.7010688185691833,0.02747693304524174
1.0,2.0,10.0,10.0,10.0,0.711464112251997,0.031566849111617584
1.0,2.0,10.0,30.0,3.0,0.5688300497829915,0.03623730294292612
1.0,2.0,10.0,30.0,10.0,0.57174092233181,0.041035205484793946
1.0,4.0,2.0,1.0,3.0,1.1641332179307937,-0.10203620143619936
1.0,4.0,2.0,1.0,10.0,1.163704653084278,-0.10470703544946013
1.0,4.0,2.0,3.0,3.0,1.1640211716294289,-0.10227849552546862
1.0,4.0,2.0,3.0,10.0,1.1635936692357063,-0.10494658174862566
1.0,4.0,2.0,10.0,3.0,1.1339224457740784,-0.1973483766553777
1.0,4.0,2.0,10.0,10.0,1.1406318709254264,-0.21596417540824203
1.0,4.0,2.0,30.0,3.0,0.8122624360024929,-0.11507645836436
1.0,4.0,2.0,30.0,10.0,0.8070873003453016,-0.10278303789646714
1.0,4.0,5.0,1.0,3.0,1.138524943590164,-0.12147717587133557
1.0,4.0,5.0,1.0,10.0,1.1381036087870597,-0.20016089824184657
1.0,4.0,5.0,3.0,3.0,1.136773206293583,-0.12503369835282774
1.0,4.0,5.0,3.0,10.0,1.136658851802349,-0.20349009012104127
1.0,4.0,5.0,10.0,3.0,1.0682021901011467,-0.16305641024508033
1.0,4.0,5.0,10.0,10.0,1.077795648574829,-0.14474445514343753
1.0,4.0,5.0,30.0,3.0,0.7584609251469374,-0.17996760164394673
1.0,4.0,5.0,30.0,10.0,0.7668022099882364,-0.16664173058563267
1.0,4.0,10.0,1.0,3.0,1.0488937929272653,-0.1896262958257548
1.0,4.0,10.0,1.0,10.0,1.0511171266436576,-0.18339062498422867
1.0,4.0,10.0,3.0,3.0,1.042402982711792,-0.19137090938246515
1.0,4.0,10.0,3.0,10.0,1.0453835234045983,-0.18516182007387233
1.0,4.0,10.0,10.0,3.0,0.9549158781766891,-0.1907632047603887
1.0,4.0,10.0,10.0,10.0,0.9675929009914398,-0.18639718955178203
1.0,4.0,10.0,30.0,3.0,0.709452098608017,0.060849543963405694
