label,held_out_loss,slope,anchor_err_deg,n_epochs,seed,hold_prob,sign_reg,anchor,max_av,ring_source,ring_sign,activation,type_params,real_sign_control,control_shuffle_seed,control_swap_fraction,control_type_mask,frac_edges_changed,recurrent_gain,tau,in_gain,cue_gain,mean_abs_sign,frac_polarized_gt_0.9
types_mask44_p,0.4734853403021892,0.0011905826461441858,3.293351587471471,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,44.0,0.49486899563318776,2.0,10.0,10.0,10.0,1.0,1.0
types_mask45_p,0.08248014195511738,0.950319782055514,6.163816912786593,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,45.0,0.18417030567685588,2.0,10.0,10.0,10.0,1.0,1.0
types_mask46_p,0.4605580560863018,0.014504097056518823,3.39355373361584,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,46.0,0.8862445414847162,2.0,10.0,10.0,10.0,1.0,1.0
types_mask47_p,0.05450015552341938,0.8840723581295086,7.239948973629623,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,47.0,0.5755458515283843,2.0,10.0,10.0,10.0,1.0,1.0
types_mask48_p,0.48987075680245956,-0.005091908407313213,4.406284125039886,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,48.0,0.5276200873362445,2.0,10.0,10.0,10.0,1.0,1.0
types_mask49_p,0.28737241998314855,0.3946669583191232,4.6794774542754975,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,49.0,0.21692139737991267,2.0,10.0,10.0,10.0,1.0,1.0
types_mask4_p,0.4502492965509494,0.0170407973856497,3.456638655680108,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,4.0,0.327292576419214,2.0,10.0,10.0,10.0,1.0,1.0
types_mask50_p,0.4712711300700903,0.0023143489524196483,2.851624173784447,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,50.0,0.9189956331877729,2.0,10.0,10.0,10.0,1.0,1.0
types_mask51_p,0.3220287458350261,0.42229022760541296,7.939488624129279,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,51.0,0.608296943231441,2.0,10.0,10.0,10.0,1.0,1.0
types_mask52_p,0.4737765257557233,0.003191830449252393,3.7256662392007147,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,52.0,0.5442139737991266,2.0,10.0,10.0,10.0,1.0,1.0
types_mask53_p,0.48142119919260346,-0.004432971976281395,4.619349863604933,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,53.0,0.23351528384279477,2.0,10.0,10.0,10.0,1.0,1.0
types_mask54_p,0.4814307821293672,0.002998487659151178,2.5305552438763863,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,54.0,0.9355895196506551,2.0,10.0,10.0,10.0,1.0,1.0
types_mask55_p,0.26211756709963085,0.4597317444666777,7.3144297248146,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,55.0,0.6248908296943232,2.0,10.0,10.0,10.0,1.0,1.0
types_mask56_p,0.4827295561010639,-0.002884857152220256,3.814657732669052,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,56.0,0.5920305676855895,2.0,10.0,10.0,10.0,1.0,1.0
types_mask57_p,0.47851248110334077,-0.006707915393686841,5.818036420938091,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,57.0,0.28133187772925766,2.0,10.0,10.0,10.0,1.0,1.0
types_mask58_p,0.5112823302547137,-0.034877255824536685,6.092802633794482,600,0,0.3,0.0,True,0.15,eb_synapses,1.0,tanh,True,True,,,58.0,0.9834061135371179,2.0,10.0,10.0,10.0,1.0,1.0
